"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350010 Adamantina";-;-;-;-;-;1;-;5;-;8;72;-;1;1;1;-;-;10;-;-;-;-;1;-;-;12;-;-;1;-;-;113
"350020 Adolfo";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"350030 Aguaí";-;-;-;-;-;-;-;5;-;3;25;-;4;-;1;-;-;1;-;-;-;1;1;-;-;5;1;-;-;-;-;47
"350040 Águas da Prata";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350050 Águas de Lindóia";-;-;-;-;-;1;-;4;-;5;13;-;-;-;1;-;-;2;-;-;-;-;1;-;-;5;-;-;-;-;-;32
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350060 Águas de São Pedro";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;7
"350070 Agudos";-;-;-;-;-;1;-;7;-;3;21;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;37
"350075 Alambari";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;8
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350090 Altair";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350100 Altinópolis";-;-;-;-;-;-;-;8;-;3;19;-;1;-;1;-;-;1;-;-;-;-;1;-;-;1;1;-;1;-;-;37
"350110 Alto Alegre";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350115 Alumínio";-;1;-;-;-;-;-;2;-;3;3;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;12
"350120 Álvares Florence";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;7;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;17
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350160 Americana";-;1;-;-;-;2;-;26;-;21;530;-;1;2;5;1;-;1;-;-;-;-;1;-;-;35;-;-;1;-;-;627
"350170 Américo Brasiliense";1;-;-;-;-;-;-;3;-;5;9;-;1;-;2;-;-;-;-;-;-;-;1;-;-;1;2;1;1;-;-;27
"350180 Américo de Campos";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350190 Amparo";6;-;-;2;-;2;-;12;-;4;151;-;-;1;2;-;-;11;3;1;-;-;1;1;-;30;-;-;-;-;-;227
"350200 Analândia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350210 Andradina";-;-;-;1;-;1;-;6;-;5;111;-;-;-;1;-;1;1;-;-;-;1;1;-;-;8;-;-;-;-;1;138
"350220 Angatuba";-;1;-;-;-;1;-;6;-;-;14;-;-;-;1;-;-;1;-;-;-;-;1;-;-;4;-;-;1;-;-;30
"350230 Anhembi";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;9
"350240 Anhumas";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350250 Aparecida";-;-;-;-;-;1;-;2;-;2;11;-;2;-;1;-;-;-;7;-;-;-;1;-;-;5;-;-;1;-;-;33
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;6
"350270 Apiaí";-;1;-;-;-;1;-;8;-;3;20;-;-;-;1;-;-;1;-;-;-;-;1;-;-;4;-;-;-;-;-;40
"350275 Araçariguama";-;-;-;-;-;-;-;1;-;3;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;11
"350280 Araçatuba";-;1;-;-;1;1;-;16;-;76;371;2;1;5;2;-;1;3;4;2;-;-;2;3;-;30;-;-;-;3;-;524
"350290 Araçoiaba da Serra";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;11
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"350320 Araraquara";-;1;1;-;-;2;-;30;2;47;440;-;6;2;3;1;-;10;-;2;-;3;2;-;-;17;3;-;12;1;-;585
"350330 Araras";-;-;-;-;-;1;-;20;-;34;240;-;-;1;3;-;-;-;2;1;-;-;1;-;-;9;2;-;-;-;-;314
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;8
"350350 Areias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;1;10;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;19
"350370 Ariranha";-;-;-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"350380 Artur Nogueira";-;-;-;-;-;1;-;16;1;5;24;-;1;-;1;-;-;3;1;-;-;1;1;-;-;3;1;-;-;-;-;59
"350390 Arujá";-;-;-;-;-;1;-;6;-;10;19;-;-;-;2;-;-;1;-;1;-;-;1;-;-;7;-;-;1;1;-;50
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
