"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350010 Adamantina";-;4;-;3;12;-;1;1;1;-;1;-;-;-;7;1;-;1;-;-;32
"350020 Adolfo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350030 Aguaí";-;4;-;1;11;-;1;-;1;-;2;-;-;1;5;1;-;-;-;-;27
"350040 Águas da Prata";-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4
"350050 Águas de Lindóia";-;1;-;2;3;-;-;-;1;-;5;-;-;-;3;1;-;-;-;-;16
"350055 Águas de Santa Bárbara";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"350060 Águas de São Pedro";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
"350070 Agudos";-;5;-;2;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;11
"350075 Alambari";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;7
"350080 Alfredo Marcondes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350090 Altair";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350100 Altinópolis";-;7;-;1;11;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;21
"350110 Alto Alegre";-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"350115 Alumínio";-;2;-;-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;6
"350120 Álvares Florence";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350130 Álvares Machado";-;6;-;2;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;12
"350140 Álvaro de Carvalho";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350150 Alvinlândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350160 Americana";-;21;-;15;301;-;-;2;5;1;2;-;-;-;29;1;-;1;1;-;379
"350170 Américo Brasiliense";-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4
"350180 Américo de Campos";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350190 Amparo";-;13;-;7;100;-;-;2;2;-;1;-;-;1;16;1;-;-;-;-;143
"350200 Analândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350210 Andradina";-;5;-;1;4;-;-;-;1;-;1;-;-;1;6;2;-;-;-;1;22
"350220 Angatuba";-;9;-;2;-;-;-;-;1;-;1;-;-;-;2;2;-;-;-;-;17
"350230 Anhembi";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350240 Anhumas";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350250 Aparecida";-;2;-;1;-;-;-;-;1;-;-;4;-;-;3;1;-;-;-;-;12
"350260 Aparecida d'Oeste";-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
"350270 Apiaí";-;9;-;3;-;-;-;-;1;-;3;-;-;-;3;2;-;-;-;-;21
"350275 Araçariguama";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350280 Araçatuba";-;16;2;55;33;-;1;4;4;-;5;1;-;1;21;2;-;2;-;-;147
"350290 Araçoiaba da Serra";-;4;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;8
"350300 Aramina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350310 Arandu";-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;4
"350315 Arapeí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350320 Araraquara";-;28;1;17;104;-;1;2;3;1;9;-;-;3;14;2;-;1;-;3;189
"350330 Araras";-;22;-;97;38;-;-;1;3;-;2;-;-;1;11;2;-;-;-;-;177
"350335 Arco-Íris";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350340 Arealva";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"350350 Areias";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
