"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350010 Adamantina";-;4;-;5;47;-;1;1;1;-;-;1;-;-;-;-;8;1;-;1;-;-;70
"350020 Adolfo";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350030 Aguaí";-;4;-;1;15;-;1;-;1;-;-;2;-;-;1;-;4;1;-;-;-;-;30
"350040 Águas da Prata";-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"350050 Águas de Lindóia";-;3;-;2;4;-;-;-;1;-;-;2;-;-;-;-;5;1;-;-;-;-;18
"350055 Águas de Santa Bárbara";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"350060 Águas de São Pedro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;3
"350070 Agudos";-;7;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;23
"350075 Alambari";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;7
"350080 Alfredo Marcondes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350090 Altair";-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350100 Altinópolis";-;7;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;21
"350110 Alto Alegre";-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350115 Alumínio";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"350120 Álvares Florence";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350130 Álvares Machado";-;7;-;2;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;14
"350140 Álvaro de Carvalho";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350150 Alvinlândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350160 Americana";-;21;1;17;349;-;-;2;5;1;-;2;-;-;-;-;33;1;-;1;1;-;434
"350170 Américo Brasiliense";-;1;-;1;3;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"350180 Américo de Campos";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350190 Amparo";-;11;-;8;107;-;-;2;2;-;-;2;3;-;1;-;18;1;-;-;-;-;155
"350200 Analândia";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350210 Andradina";-;6;-;2;39;-;-;-;1;-;1;1;-;-;-;-;12;3;-;-;-;-;65
"350220 Angatuba";-;9;-;1;1;-;-;-;1;-;-;-;-;-;-;-;4;1;-;-;-;-;17
"350230 Anhembi";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350240 Anhumas";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350250 Aparecida";-;2;-;1;6;-;1;-;1;-;-;-;5;-;-;-;4;1;-;-;-;-;21
"350260 Aparecida d'Oeste";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350270 Apiaí";-;10;-;3;5;-;-;-;1;-;-;3;-;-;-;-;3;2;-;-;-;-;27
"350275 Araçariguama";-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350280 Araçatuba";-;19;1;95;135;1;1;5;3;-;1;3;1;-;2;1;20;1;-;2;-;1;292
"350290 Araçoiaba da Serra";-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;8
"350300 Aramina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350310 Arandu";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350315 Arapeí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
