"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"350010 Adamantina";1;-;-;1;-;1;-;9;-;-;12;92;-;1;1;1;-;-;-;4;-;-;-;-;-;1;-;-;-;16;3;-;1;1;-;-;145
"350020 Adolfo";-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"350030 Aguaí";-;-;-;-;-;1;-;5;-;-;3;42;1;3;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;4;2;-;1;-;-;-;66
"350040 Águas da Prata";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350050 Águas de Lindóia";-;-;-;-;-;1;-;5;-;-;8;22;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;42
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"350060 Águas de São Pedro";-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;6
"350070 Agudos";-;-;-;-;-;1;-;7;-;-;1;26;-;-;-;1;-;-;-;3;-;3;1;-;-;1;-;-;-;2;-;-;1;-;-;-;47
"350075 Alambari";-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;8
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350090 Altair";1;-;-;-;-;-;-;3;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"350100 Altinópolis";-;-;-;1;-;-;-;6;-;-;6;23;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;44
"350110 Alto Alegre";-;-;-;-;-;-;-;3;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"350115 Alumínio";-;1;-;-;-;-;-;2;-;-;3;3;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"350120 Álvares Florence";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;7;-;-;5;4;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;22
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350160 Americana";-;1;-;-;1;3;-;21;-;-;18;832;-;1;1;5;1;-;-;5;-;-;-;-;-;1;1;-;-;51;1;-;1;-;-;1;945
"350170 Américo Brasiliense";2;-;-;-;-;1;-;5;-;-;5;9;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;1;2;1;2;-;-;-;32
"350180 Américo de Campos";-;-;-;-;-;-;-;2;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350190 Amparo";1;-;-;1;-;2;-;17;-;-;11;203;-;1;1;2;-;-;-;8;-;2;1;-;-;2;2;-;-;36;1;-;-;2;-;1;294
"350200 Analândia";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"350210 Andradina";1;1;-;1;-;2;-;7;-;-;8;187;-;-;-;1;-;1;-;1;-;-;1;-;-;1;-;-;-;9;1;-;-;8;-;-;230
"350220 Angatuba";-;1;-;-;-;1;-;1;-;-;-;16;-;-;-;1;-;-;-;1;-;5;-;-;-;1;-;-;-;4;1;-;1;-;-;-;33
"350230 Anhembi";1;-;-;-;-;-;-;3;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"350240 Anhumas";1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;1;-;10;-;-;4;16;-;1;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;6;-;-;1;-;-;-;43
"350260 Aparecida d'Oeste";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;7
"350270 Apiaí";-;-;-;-;-;1;-;9;-;-;3;23;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;-;2;-;-;-;45
"350275 Araçariguama";-;1;-;-;-;1;-;2;-;-;4;4;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;1;-;2;-;-;-;20
"350280 Araçatuba";-;1;1;-;-;3;-;21;-;-;121;639;-;3;1;4;-;-;1;3;-;2;1;-;-;2;4;-;-;32;3;-;5;1;-;-;848
"350290 Araçoiaba da Serra";-;1;-;-;-;1;-;7;-;-;3;4;-;-;1;-;6;-;-;1;-;-;1;-;-;1;1;-;-;3;-;-;-;-;-;-;30
"350300 Aramina";-;-;-;-;-;-;-;4;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;13
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"350320 Araraquara";2;1;1;-;-;2;-;40;-;-;63;606;-;6;3;5;1;-;-;10;-;2;4;-;-;2;-;-;-;21;3;-;21;1;-;-;794
"350330 Araras";-;-;1;-;1;2;-;24;-;-;30;225;-;-;1;3;-;-;-;1;-;2;1;-;-;1;-;-;-;13;2;-;3;-;-;-;310
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";1;-;-;-;-;-;-;4;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;3;14
"350350 Areias";-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350360 Areiópolis";1;-;-;-;-;-;-;3;-;-;1;4;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;14
"350370 Ariranha";-;-;-;-;-;-;-;3;-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;14
"350380 Artur Nogueira";-;1;-;-;-;1;-;15;-;-;6;43;-;1;-;3;-;-;1;5;-;1;-;-;1;1;-;-;-;7;-;-;1;-;-;-;87
"350390 Arujá";-;-;-;-;-;-;-;7;-;-;11;20;-;-;-;3;-;-;-;5;-;-;-;-;-;1;-;-;-;8;1;-;2;-;-;-;58
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";1;1;1;2;-;2;-;19;-;-;12;334;-;7;-;4;6;-;-;7;-;2;2;-;-;2;1;-;-;23;-;-;2;-;-;-;428
"350410 Atibaia";1;-;-;-;-;1;-;20;-;-;8;220;-;-;-;3;-;-;-;28;-;-;1;-;-;1;3;-;-;40;1;-;2;-;-;-;329
"350420 Auriflama";-;1;-;-;-;-;-;6;-;-;-;19;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;31
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;5;-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;16
"350450 Avaré";-;-;1;-;-;1;-;19;-;-;16;198;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;20;-;-;2;-;-;1;264
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;-;1;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;12
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"350490 Bananal";-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;1;1;-;-;-;11
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350520 Bariri";-;-;-;-;-;1;-;6;-;-;5;43;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;-;67
"350530 Barra Bonita";1;-;-;-;-;1;-;8;-;-;2;76;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;100
"350535 Barra do Chapéu";-;1;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;8
"350550 Barretos";3;2;1;-;-;1;-;15;-;-;30;247;-;2;2;3;1;-;1;6;1;-;2;-;-;3;1;-;-;10;1;-;4;-;-;-;336
"350560 Barrinha";-;-;-;-;-;-;-;7;-;-;3;8;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;3;2;-;1;-;-;-;30
"350570 Barueri";-;1;-;-;-;3;-;19;-;-;35;283;-;4;-;3;-;-;-;21;-;1;1;2;7;1;-;-;-;18;1;-;-;-;-;-;400
"350580 Bastos";2;1;-;-;-;1;-;6;-;-;8;10;-;1;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;36
"350590 Batatais";-;1;-;-;-;1;-;10;-;-;7;235;-;1;-;1;-;-;-;1;-;1;1;-;1;1;-;-;-;7;-;-;2;-;-;-;270
"350600 Bauru";-;2;1;-;-;5;-;25;-;-;47;665;-;5;4;8;1;-;1;30;-;5;4;2;-;2;4;1;-;36;1;1;14;-;-;-;864
"350610 Bebedouro";1;1;-;-;-;2;-;16;-;-;41;196;-;1;-;4;3;-;-;19;-;-;1;-;-;1;-;-;-;12;-;-;-;1;-;-;299
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;1;-;5;-;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;19
"350635 Bertioga";-;-;-;-;-;1;-;5;-;-;9;13;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;10;3;-;3;-;-;-;47
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"350650 Birigui";-;-;-;-;-;-;-;11;-;-;33;152;-;1;-;2;-;-;-;4;-;-;1;-;1;1;3;-;-;15;-;-;-;-;-;-;224
"350660 Biritiba-Mirim";-;1;-;-;-;-;-;4;-;-;-;7;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;19
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;-;1;10;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;22
"350680 Bocaina";-;-;-;-;-;-;-;4;-;-;1;13;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;21
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350700 Boituva";1;1;-;-;-;2;-;8;-;-;15;66;-;2;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;-;107
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;2;-;-;1;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;1;1;-;-;-;20
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;1;-;1;-;-;2;20;-;-;-;1;-;-;-;3;-;4;-;-;1;1;-;-;-;2;-;-;-;-;-;-;36
"350745 Borebi";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;4;-;20;-;1;40;574;-;1;1;3;-;-;-;1;-;-;1;-;-;1;-;-;-;8;2;-;2;-;-;2;663
"350760 Bragança Paulista";2;1;1;-;-;2;-;29;-;-;18;283;-;2;-;4;3;-;-;31;-;-;2;-;-;1;1;-;-;28;-;-;3;2;-;-;413
"350770 Braúna";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;6;-;-;1;38;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;55
"350790 Brotas";-;-;-;1;-;-;-;6;-;-;2;58;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;73
"350800 Buri";-;1;-;-;-;1;-;3;-;-;2;3;-;2;-;-;-;-;-;1;-;4;1;-;-;1;-;-;-;2;-;-;-;-;-;-;21
"350810 Buritama";1;-;-;-;-;1;-;2;-;-;6;10;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;25
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"350830 Cabrália Paulista";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;1;-;8;-;-;8;9;-;1;-;1;-;-;-;3;-;-;1;-;-;1;1;-;-;6;-;-;-;-;-;-;40
"350850 Caçapava";-;1;-;1;-;3;-;20;-;-;15;252;-;2;1;3;-;-;-;-;-;-;-;-;-;1;-;-;1;9;1;1;2;-;-;1;314
"350860 Cachoeira Paulista";1;-;-;-;-;1;-;10;-;-;4;31;-;1;-;1;-;-;-;8;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;60
"350870 Caconde";1;-;-;-;-;-;-;4;-;-;6;19;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;-;38
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;-;31;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;46
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;1;-;1;1;-;12;-;-;19;22;-;-;-;3;-;-;-;6;-;-;1;-;-;1;-;-;-;6;2;1;-;-;-;-;77
"350910 Caiuá";-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350920 Cajamar";1;-;-;-;-;1;-;10;-;-;8;41;-;-;-;1;1;-;-;7;-;-;1;-;-;1;-;-;-;7;2;-;-;-;-;-;81
"350925 Cajati";1;-;-;-;-;1;-;10;-;-;5;14;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;-;-;-;-;-;37
"350930 Cajobi";1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;10
"350940 Cajuru";1;-;-;-;1;-;-;8;-;-;11;40;-;1;-;1;-;-;-;3;-;1;1;-;-;1;-;-;-;2;1;-;2;1;-;-;75
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;9;14;-;67;-;-;224;1356;-;10;4;21;14;1;-;57;-;7;3;-;-;10;7;-;-;133;6;-;19;-;-;3;1969
"350960 Campo Limpo Paulista";1;-;-;-;-;1;-;8;-;-;6;8;-;1;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;1;32
"350970 Campos do Jordão";-;-;-;-;-;1;-;1;-;-;9;49;-;-;-;2;-;-;-;-;-;12;-;-;-;1;-;-;-;5;1;-;2;-;-;-;83
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351000 Cândido Mota";1;-;-;-;-;1;-;6;-;-;3;53;-;2;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;12;-;-;-;-;-;-;82
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;1;-;-;-;1;-;11;-;-;6;18;-;1;-;1;-;-;1;4;-;4;-;-;-;1;-;-;-;5;-;-;-;-;-;-;54
