"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350010 Adamantina";-;-;9;98;107
"350020 Adolfo";-;-;2;2;4
"350030 Aguaí";-;-;11;31;42
"350040 Águas da Prata";-;-;4;3;7
"350050 Águas de Lindóia";-;-;7;21;28
"350055 Águas de Santa Bárbara";-;-;2;5;7
"350060 Águas de São Pedro";-;-;3;3;6
"350070 Agudos";-;-;9;22;31
"350075 Alambari";-;-;6;1;7
"350080 Alfredo Marcondes";-;-;2;-;2
"350090 Altair";-;-;4;1;5
"350100 Altinópolis";-;-;14;21;35
"350110 Alto Alegre";-;-;5;1;6
"350115 Alumínio";-;-;5;3;8
"350120 Álvares Florence";-;-;4;-;4
"350130 Álvares Machado";-;-;8;8;16
"350140 Álvaro de Carvalho";-;1;2;-;3
"350150 Alvinlândia";-;-;2;-;2
"350160 Americana";-;1;36;497;534
"350170 Américo Brasiliense";-;2;5;15;22
"350180 Américo de Campos";-;-;2;2;4
"350190 Amparo";-;-;31;187;218
"350200 Analândia";-;-;1;2;3
"350210 Andradina";-;1;13;110;124
"350220 Angatuba";-;-;8;18;26
"350230 Anhembi";-;-;4;3;7
"350240 Anhumas";-;-;3;-;3
"350250 Aparecida";-;-;14;14;28
"350260 Aparecida d'Oeste";-;-;2;2;4
"350270 Apiaí";-;-;14;24;38
"350275 Araçariguama";-;-;2;7;9
"350280 Araçatuba";-;10;57;415;482
"350290 Araçoiaba da Serra";-;-;6;2;8
"350300 Aramina";-;-;4;1;5
"350310 Arandu";-;-;4;1;5
"350315 Arapeí";-;-;3;-;3
"350320 Araraquara";-;9;76;462;547
"350330 Araras";-;-;33;258;291
"350335 Arco-Íris";-;-;2;-;2
"350340 Arealva";-;-;5;2;7
"350350 Areias";-;-;2;-;2
"350360 Areiópolis";-;-;5;12;17
"350370 Ariranha";-;-;5;3;8
"350380 Artur Nogueira";-;-;18;35;53
"350390 Arujá";-;-;12;27;39
"350395 Aspásia";-;-;2;-;2
"350400 Assis";-;4;28;196;228
"350410 Atibaia";-;1;22;150;173
"350420 Auriflama";-;-;5;11;16
"350430 Avaí";-;-;2;-;2
"350440 Avanhandava";-;1;8;4;13
"350450 Avaré";-;7;19;144;170
"350460 Bady Bassitt";-;-;3;2;5
"350470 Balbinos";-;2;3;-;5
"350480 Bálsamo";-;-;2;-;2
"350490 Bananal";-;-;5;1;6
"350500 Barão de Antonina";-;-;3;-;3
"350510 Barbosa";-;-;2;-;2
"350520 Bariri";-;-;9;38;47
"350530 Barra Bonita";-;-;8;57;65
"350535 Barra do Chapéu";-;-;2;-;2
"350540 Barra do Turvo";-;-;6;-;6
"350550 Barretos";-;5;26;180;211
"350560 Barrinha";-;-;7;8;15
"350570 Barueri";-;-;28;149;177
"350580 Bastos";-;-;11;10;21
"350590 Batatais";-;1;17;173;191
"350600 Bauru";-;13;68;492;573
"350610 Bebedouro";-;-;27;159;186
"350620 Bento de Abreu";-;-;4;-;4
"350630 Bernardino de Campos";-;-;4;5;9
"350635 Bertioga";-;-;13;16;29
"350640 Bilac";-;-;3;5;8
"350650 Birigui";-;-;24;97;121
"350660 Biritiba-Mirim";-;-;11;9;20
"350670 Boa Esperança do Sul";-;-;7;7;14
"350680 Bocaina";-;-;6;8;14
"350690 Bofete";-;-;2;-;2
"350700 Boituva";-;-;11;56;67
"350710 Bom Jesus dos Perdões";-;-;2;12;14
"350715 Bom Sucesso de Itararé";-;-;2;-;2
"350720 Borá";-;-;2;-;2
"350730 Boracéia";-;-;1;1;2
"350740 Borborema";-;-;8;21;29
"350745 Borebi";-;-;2;1;3
"350750 Botucatu";-;11;22;413;446
"350760 Bragança Paulista";-;2;49;229;280
"350770 Braúna";-;-;3;-;3
"350775 Brejo Alegre";-;-;2;-;2
"350780 Brodowski";-;-;7;30;37
"350790 Brotas";-;-;8;30;38
"350800 Buri";-;-;9;3;12
"350810 Buritama";-;-;9;5;14
"350820 Buritizal";-;-;3;1;4
"350830 Cabrália Paulista";-;-;3;-;3
"350840 Cabreúva";-;-;8;7;15
"350850 Caçapava";-;-;21;196;217
"350860 Cachoeira Paulista";-;-;17;32;49
"350870 Caconde";-;-;6;24;30
"350880 Cafelândia";-;-;5;27;32
"350890 Caiabu";-;-;3;-;3
"350900 Caieiras";-;-;17;26;43
"350910 Caiuá";-;-;4;-;4
"350920 Cajamar";-;-;14;23;37
"350925 Cajati";-;-;10;18;28
"350930 Cajobi";-;-;4;5;9
"350940 Cajuru";-;-;12;27;39
"350945 Campina do Monte Alegre";-;-;3;-;3
"350950 Campinas";-;11;106;1856;1973
"350960 Campo Limpo Paulista";-;-;14;26;40
"350970 Campos do Jordão";-;-;18;31;49
"350980 Campos Novos Paulista";-;-;2;-;2
"350990 Cananéia";-;-;7;-;7
"350995 Canas";-;-;2;-;2
"351000 Cândido Mota";-;-;9;43;52
"351010 Cândido Rodrigues";-;-;2;1;3
"351015 Canitar";-;-;2;-;2
"351020 Capão Bonito";-;-;19;24;43
"351030 Capela do Alto";-;-;5;6;11
"351040 Capivari";-;-;14;129;143
"351050 Caraguatatuba";-;4;28;86;118
"351060 Carapicuíba";-;2;24;47;73
"351070 Cardoso";-;-;7;10;17
"351080 Casa Branca";-;5;11;50;66
"351090 Cássia dos Coqueiros";-;-;5;-;5
"351100 Castilho";-;-;2;11;13
"351110 Catanduva";-;-;32;282;314
"351120 Catiguá";-;-;4;-;4
"351130 Cedral";-;-;4;8;12
"351140 Cerqueira César";-;-;7;10;17
"351150 Cerquilho";-;-;14;118;132
"351160 Cesário Lange";-;-;4;9;13
"351170 Charqueada";-;-;6;14;20
"355720 Chavantes";-;-;4;12;16
"351190 Clementina";-;-;1;3;4
"351200 Colina";-;-;9;36;45
"351210 Colômbia";-;-;6;5;11
"351220 Conchal";-;-;10;34;44
"351230 Conchas";-;-;10;32;42
"351240 Cordeirópolis";-;-;11;13;24
"351250 Coroados";-;-;2;-;2
"351260 Coronel Macedo";-;-;3;-;3
"351270 Corumbataí";-;-;3;1;4
"351280 Cosmópolis";-;-;20;53;73
"351290 Cosmorama";-;-;4;1;5
"351300 Cotia";-;1;42;49;92
"351310 Cravinhos";-;-;7;24;31
"351320 Cristais Paulista";-;-;5;5;10
"351330 Cruzália";-;-;4;1;5
"351340 Cruzeiro";-;-;31;211;242
"351350 Cubatão";-;-;28;126;154
"351360 Cunha";-;-;10;7;17
"351370 Descalvado";-;-;16;67;83
"351380 Diadema";-;2;35;101;138
"351385 Dirce Reis";-;-;2;-;2
"351390 Divinolândia";-;-;5;16;21
"351400 Dobrada";-;-;2;2;4
"351410 Dois Córregos";-;-;8;27;35
"351420 Dolcinópolis";-;-;3;1;4
"351430 Dourado";-;-;5;7;12
"351440 Dracena";-;1;13;140;154
"351450 Duartina";-;-;5;28;33
"351460 Dumont";-;-;2;-;2
"351470 Echaporã";-;-;4;-;4
"351480 Eldorado";-;-;6;2;8
"351490 Elias Fausto";-;-;3;3;6
"351492 Elisiário";-;-;2;-;2
"351495 Embaúba";-;-;2;-;2
"351500 Embu das Artes";-;-;24;12;36
"351510 Embu-Guaçu";-;-;12;5;17
"351512 Emilianópolis";-;-;2;-;2
"351515 Engenheiro Coelho";-;-;6;3;9
"351518 Espírito Santo do Pinhal";-;-;10;115;125
"351519 Espírito Santo do Turvo";-;-;4;-;4
"355730 Estiva Gerbi";-;-;6;4;10
"351520 Estrela d'Oeste";-;-;3;15;18
"351530 Estrela do Norte";-;-;1;-;1
"351535 Euclides da Cunha Paulista";-;-;4;1;5
"351540 Fartura";-;-;3;25;28
"351560 Fernando Prestes";-;-;3;-;3
"351550 Fernandópolis";-;-;31;214;245
"351565 Fernão";-;-;2;-;2
"351570 Ferraz de Vasconcelos";-;1;24;10;35
"351580 Flora Rica";-;-;1;-;1
"351590 Floreal";-;-;2;2;4
"351600 Flórida Paulista";-;1;6;6;13
"351610 Florínia";-;-;3;-;3
"351620 Franca";-;7;45;550;602
"351630 Francisco Morato";-;1;21;21;43
"351640 Franco da Rocha";-;15;23;29;67
"351650 Gabriel Monteiro";-;-;2;-;2
"351660 Gália";-;-;3;8;11
"351670 Garça";-;-;17;37;54
"351680 Gastão Vidigal";-;-;2;-;2
"351685 Gavião Peixoto";-;-;5;1;6
"351690 General Salgado";-;-;5;10;15
"351700 Getulina";-;1;3;11;15
"351710 Glicério";-;-;4;-;4
"351720 Guaiçara";-;-;6;6;12
"351730 Guaimbê";-;-;3;1;4
"351740 Guaíra";-;-;15;42;57
"351750 Guapiaçu";-;-;9;8;17
"351760 Guapiara";-;-;11;1;12
"351770 Guará";-;-;14;19;33
"351780 Guaraçaí";-;-;2;11;13
"351790 Guaraci";-;-;5;4;9
"351800 Guarani d'Oeste";-;-;2;-;2
"351810 Guarantã";-;-;2;2;4
"351820 Guararapes";-;-;5;29;34
"351830 Guararema";-;-;5;9;14
"351840 Guaratinguetá";-;1;27;189;217
"351850 Guareí";-;1;3;-;4
"351860 Guariba";-;-;10;21;31
"351870 Guarujá";-;-;42;207;249
"351880 Guarulhos";1;2;108;472;583
"351885 Guatapará";-;-;3;-;3
"351890 Guzolândia";-;-;3;-;3
"351900 Herculândia";-;-;7;2;9
"351905 Holambra";-;-;5;8;13
"351907 Hortolândia";-;4;36;54;94
"351910 Iacanga";-;-;3;7;10
"351920 Iacri";-;-;3;4;7
"351925 Iaras";-;1;4;-;5
"351930 Ibaté";-;-;12;15;27
"351940 Ibirá";-;-;5;7;12
"351950 Ibirarema";-;-;2;1;3
"351960 Ibitinga";-;-;11;94;105
"351970 Ibiúna";-;-;20;15;35
"351980 Icém";-;-;5;5;10
"351990 Iepê";-;-;6;3;9
"352000 Igaraçu do Tietê";-;-;5;3;8
"352010 Igarapava";-;-;8;39;47
"352020 Igaratá";-;-;4;-;4
"352030 Iguape";-;-;8;8;16
"352042 Ilha Comprida";-;-;6;1;7
"352044 Ilha Solteira";-;-;13;62;75
"352040 Ilhabela";-;-;12;5;17
"352050 Indaiatuba";-;1;31;270;302
"352060 Indiana";-;-;4;3;7
"352070 Indiaporã";-;-;2;2;4
"352080 Inúbia Paulista";-;-;2;-;2
"352090 Ipaussu";-;-;5;8;13
"352100 Iperó";-;1;7;10;18
"352110 Ipeúna";-;-;2;1;3
"352115 Ipiguá";-;-;3;-;3
"352120 Iporanga";-;-;2;-;2
"352130 Ipuã";-;-;8;22;30
"352140 Iracemápolis";-;-;14;5;19
"352150 Irapuã";-;-;2;-;2
"352160 Irapuru";-;-;5;1;6
"352170 Itaberá";-;-;11;3;14
"352180 Itaí";-;1;7;19;27
"352190 Itajobi";-;-;6;8;14
"352200 Itaju";-;-;2;-;2
"352210 Itanhaém";-;-;26;26;52
"352215 Itaóca";-;-;2;-;2
"352220 Itapecerica da Serra";-;3;16;27;46
"352230 Itapetininga";-;6;37;218;261
"352240 Itapeva";-;2;32;99;133
"352250 Itapevi";-;2;23;34;59
"352260 Itapira";-;-;21;133;154
"352265 Itapirapuã Paulista";-;-;3;-;3
"352270 Itápolis";-;-;9;69;78
"352280 Itaporanga";-;-;6;4;10
"352290 Itapuí";-;-;6;3;9
"352300 Itapura";-;-;2;1;3
"352310 Itaquaquecetuba";-;1;28;19;48
"352320 Itararé";-;-;19;51;70
"352330 Itariri";-;-;4;2;6
"352340 Itatiba";-;1;25;82;108
"352350 Itatinga";-;-;3;13;16
"352360 Itirapina";-;2;8;18;28
"352370 Itirapuã";-;-;4;-;4
"352380 Itobi";-;-;2;2;4
"352390 Itu";-;3;41;170;214
"352400 Itupeva";-;-;24;22;46
"352410 Ituverava";-;-;15;120;135
"352420 Jaborandi";-;-;2;4;6
"352430 Jaboticabal";-;-;17;92;109
"352440 Jacareí";-;-;27;266;293
"352450 Jaci";-;-;4;6;10
"352460 Jacupiranga";-;-;8;6;14
"352470 Jaguariúna";-;-;14;44;58
"352480 Jales";-;5;12;139;156
"352490 Jambeiro";-;-;2;-;2
"352500 Jandira";-;-;17;13;30
"352510 Jardinópolis";-;-;14;23;37
"352520 Jarinu";-;-;7;9;16
"352530 Jaú";-;3;27;336;366
"352540 Jeriquara";-;-;1;-;1
"352550 Joanópolis";-;-;3;4;7
"352560 João Ramalho";-;-;2;-;2
"352570 José Bonifácio";-;-;11;27;38
"352580 Júlio Mesquita";-;-;2;-;2
"352585 Jumirim";-;-;2;2;4
"352590 Jundiaí";-;1;59;1302;1362
"352600 Junqueirópolis";-;-;13;9;22
"352610 Juquiá";-;-;9;3;12
"352620 Juquitiba";-;-;9;3;12
"352630 Lagoinha";-;-;4;-;4
"352640 Laranjal Paulista";-;-;14;50;64
"352650 Lavínia";-;-;5;-;5
"352660 Lavrinhas";-;-;5;-;5
"352670 Leme";-;-;25;118;143
"352680 Lençóis Paulista";-;-;19;117;136
"352690 Limeira";-;2;34;456;492
"352700 Lindóia";-;-;5;6;11
"352710 Lins";-;3;18;289;310
"352720 Lorena";-;-;22;159;181
"352725 Lourdes";-;-;3;-;3
"352730 Louveira";-;-;6;22;28
"352740 Lucélia";-;1;6;20;27
"352750 Lucianópolis";-;-;2;-;2
"352760 Luís Antônio";-;-;7;8;15
"352770 Luiziânia";-;-;2;5;7
"352780 Lupércio";-;-;3;-;3
"352790 Lutécia";-;-;2;-;2
"352800 Macatuba";-;-;9;17;26
"352810 Macaubal";-;-;3;7;10
"352820 Macedônia";-;-;2;2;4
"352830 Magda";-;-;2;-;2
"352840 Mairinque";-;-;23;18;41
"352850 Mairiporã";-;-;20;25;45
"352860 Manduri";-;-;5;7;12
"352870 Marabá Paulista";-;-;4;-;4
"352880 Maracaí";-;-;7;6;13
"352885 Marapoama";-;-;2;-;2
"352890 Mariápolis";-;-;2;-;2
"352900 Marília";-;6;64;513;583
"352910 Marinópolis";-;-;2;-;2
"352920 Martinópolis";-;-;11;19;30
"352930 Matão";-;1;21;122;144
"352940 Mauá";-;1;43;162;206
"352950 Mendonça";-;-;2;-;2
"352960 Meridiano";-;-;4;-;4
"352965 Mesópolis";-;-;2;-;2
"352970 Miguelópolis";-;-;10;18;28
"352980 Mineiros do Tietê";-;-;5;4;9
"353000 Mira Estrela";-;-;2;1;3
"352990 Miracatu";-;-;8;3;11
"353010 Mirandópolis";-;1;17;32;50
"353020 Mirante do Paranapanema";-;-;8;11;19
"353030 Mirassol";-;-;14;83;97
"353040 Mirassolândia";-;-;2;-;2
"353050 Mococa";-;2;24;142;168
"353060 Mogi das Cruzes";-;6;51;225;282
