"Município";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"Total"
"350010 Adamantina";32604;38460;38966;40503;40405;41407;38329;38906;35829;36286;34102;32387;32723;33540;31774;32343;26884;34192;44456;46059;42751;44696;42123;40590;39763;39953;47803;50862;55379;44757;45953;52625;52825;53565;47892;46634;1478326
"350020 Adolfo";3127;3455;3231;4160;3479;5330;4621;5118;4371;5108;3636;7340;3016;3576;2852;4505;5834;4781;2878;5130;5386;5229;4943;3865;3111;3611;4199;5243;4424;5820;4002;4407;5344;5655;4120;801;155708
"350030 Aguaí";23884;20744;20737;24006;28189;28620;27472;15104;33814;34515;37590;54736;31419;30985;28274;33058;28149;37889;34782;35725;40235;32846;31169;30981;24071;28899;33142;33447;37761;31709;28351;32946;32881;25758;33594;6723;1094205
"350040 Águas da Prata";8233;7566;10971;11433;9512;10167;9872;9096;9541;7446;7815;15436;7731;8030;8187;10479;9284;9361;8396;6624;6228;6981;6988;6435;6429;8353;9813;9772;8368;11016;8283;9780;10186;9709;7917;2008;313446
"350050 Águas de Lindóia";12236;13646;13266;15794;16963;18265;15821;19565;12525;16586;15984;27959;15479;12573;13733;14891;16244;16887;17151;16954;14999;13560;12757;13117;13013;10455;15763;12581;15712;15281;15096;16060;16829;15606;13478;3690;540519
"350055 Águas de Santa Bárbara";2106;2607;2960;3645;3650;4748;3895;4202;4687;4147;3741;8425;2853;2967;5268;4260;4321;4584;4141;4074;5443;4404;4820;5100;3551;4540;4268;5882;8170;7834;5619;6138;8558;7004;7569;508;170689
"350060 Águas de São Pedro";1763;2484;2453;2447;2469;2778;2521;2320;2529;2350;2686;4365;2505;2575;2395;2797;2424;2730;3947;3589;2949;3293;2190;2006;3406;3271;3597;4022;3497;4181;3527;2649;2144;2589;3053;400;100901
"350070 Agudos";21591;20151;22661;26374;24617;23765;25608;23231;25788;21458;20926;37420;23019;21841;23755;28841;59246;59708;38216;32117;32658;33220;36419;34082;26585;34838;37094;36355;33511;35078;26007;32511;28684;30181;22697;11850;1072103
"350075 Alambari";2362;2481;2832;2716;2649;2790;2267;2011;2595;2726;2481;4298;1373;2393;3839;3858;3706;3887;3695;3982;3663;4335;3400;3744;2668;3672;4086;4147;4662;4015;3128;3297;3660;4238;3791;-;115447
"350080 Alfredo Marcondes";4827;4551;6846;6207;7446;6904;6006;6397;6881;6085;6064;11031;4532;7441;6277;7464;7828;5891;6406;5130;5731;6905;6180;4974;4462;6007;6454;7935;6787;6397;4328;3675;4797;7743;8457;577;221623
