"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"350010 Adamantina";27676;32809;34520;42135;33036;38924;38630;33137;46166;36698;30335;42172;29454;30834;40874;29179;23643;40155;30756;48816;42139;39623;21863;51551;32548;39892;45686;47508;40958;39811;38222;44707;46292;33276;37945;33095;33867;40781;36281;39349;51441;42610;46358;46596;40760;45524;46073;44799;41976;42363;45819;45537;51364;38577;49211;50181;52101;41093;35933;38271;40718;42206;37646;50708;43213;56592;41345;44522;41839;48863;45436;39362;39869;40389;38767;43720;51334;44314;42792;39767;51292;39314;40712;32367;30258;31929;55043;51977;54606;51856;56667;56307;62367;58900;55307;44376;41353;36049;39234;31190;35659;37226;40350;44491;39890;40800;40587;35619;38898;38740;49965;53825;59652;48597;51533;57732;49972;58877;59073;56711;33666;32584;37940;38665;32910;36033;29110;40343;36274;38096;38476;37481;34848;32705;33344;42401;45140;36494;35421;39558;38253;35018;35843;32301;33224;34597;28574;15481;15030;20170;22787;24511;23921;26791;27030;27231;26465;25499;29280;27310;6405438
"350020 Adolfo";2682;4169;5370;5074;2481;4992;5559;5885;6583;4497;5103;3009;3801;4194;4661;4103;5479;8032;6513;7914;7548;7923;6414;6665;4399;5668;7420;6416;6841;5223;7184;8234;7278;6792;6781;5857;4958;7904;7551;7025;8172;5836;6133;2940;6076;5321;5328;4289;2808;4337;5896;5321;5022;4220;4763;6711;5745;5045;4153;3150;5527;6270;5444;7461;6414;5262;4774;6573;5690;6796;6395;5374;5589;6095;5913;6836;6205;5224;6612;7882;8134;7432;6542;5677;5578;6017;7702;7114;7175;7971;6528;9594;9075;8232;6013;4453;6135;6784;9884;7534;9157;7788;5070;7275;6040;5415;4791;1956;6152;6395;8991;9134;10647;8452;7482;10545;6870;6622;4727;6519;8335;7408;7527;9445;10189;8265;5849;8334;7525;8229;6511;5325;7318;7553;7437;7777;5068;6073;7547;7381;7142;10055;9956;7607;9350;8087;3789;2014;2964;2282;1874;1320;1458;1480;1334;1523;1684;1454;1527;1422;968804
"350030 Aguaí";22124;24238;23346;34001;27999;25813;26522;29931;29047;38314;21853;19953;13416;19951;19930;23201;23486;24498;25757;24483;27210;25388;27627;23308;22489;23826;17784;21100;27688;22719;24386;23009;26284;24590;21446;21379;21817;26234;24504;25089;25646;9249;22071;23147;26523;21404;17567;16341;16433;17951;122763;11193;8328;10275;10688;6341;5571;4742;6991;4235;5590;311647;3907;563;798;29843;27871;7389;134183;23803;8326;21567;30038;24575;19721;29805;34445;31092;31350;33868;33760;34633;33652;37695;52544;41832;38549;41389;39248;37787;32308;39929;23572;26289;22855;26777;19891;20327;33833;20227;23397;23613;22044;21251;20056;21548;19921;18645;20422;23684;28920;20932;20096;21152;21123;23470;21997;21225;20180;17773;18529;18691;19636;20672;19919;18911;20255;12519;11246;21289;19189;15610;19946;20651;18526;24435;21426;20650;24222;26749;27158;27898;25638;31369;34303;50092;46721;20402;23578;29305;36670;37207;35887;39334;40958;40404;42083;41030;39589;34030;4358853
"350040 Águas da Prata";5741;4862;8250;8374;7002;7789;5192;6257;6797;6527;5293;5802;5901;8092;582672;6846;-;5557;5348;6048;6104;7267;6445;5524;5559;5062;7464;6341;7277;5446;6151;6990;8172;17930;6841;6061;7970;6486;8035;6586;7717;6363;5515;5592;5581;6166;26670;6237;6832;6856;6893;6603;8288;9054;7677;8637;7579;7217;7175;6394;7518;7128;7404;12231;8065;7053;7236;9390;6241;7323;7110;7419;8089;8045;7747;12718;8871;8860;7894;129782;59695;11364;12797;10306;9324;136627;10121;10521;13213;13659;10534;9915;11276;10451;10028;8872;20634;10612;7671;8523;7056;8307;9680;7673;8192;7458;11218;6204;7678;6042;7847;5362;9013;8688;12665;14387;10672;8621;7052;8103;8544;7932;8226;8376;10249;7302;8372;7667;6186;9578;7247;11318;5197;10246;12306;7245;6948;9006;7030;6757;5489;6006;5922;5546;5590;4709;5446;2152;998;4461;4656;5288;4021;2307;4908;2637;4974;3150;2462;1425;2103171
"350050 Águas de Lindóia";21020;19488;15419;25674;21998;25414;21066;23876;24119;22317;21617;18028;14187;17907;17906;18996;18896;15133;19518;20288;17874;17902;19309;17475;17747;316239;20074;18659;21832;14101;21258;21228;229583;16494;981235;17977;18290;18343;21974;20729;22236;19671;480697;23778;24302;18814;20614;19305;19303;19032;23450;21036;24754;23088;20919;24750;21329;21043;22161;18356;20220;13766;18080;22034;21871;21446;19509;33081;22468;19709;19205;16388;18833;18574;49914;25370;20032;17664;17863;19964;21046;19541;18209;17842;12209;14962;15064;17247;16943;17767;17681;20461;18077;16076;19348;14010;11226;17995;16069;16681;17794;15178;13925;16194;15060;44526;13286;16483;18227;16222;13950;13442;14780;11664;11278;11144;1898;6503;8521;6789;8761;2503;12924;8795;10170;8000;3353;3034;2980;3313;2915;3326;3584;2193;3512;3332;3405;3588;3148;3064;3577;3837;3821;3723;3522;3697;3152;1113;1275;1664;2371;2099;2237;2538;2607;2624;2714;2304;1798;-;4347710
"350055 Águas de Santa Bárbara";4115;3937;5558;6806;5527;5660;4745;5005;6055;5507;5516;4948;4018;4682;4691;5113;5601;6023;5106;5105;4950;4368;3893;4010;3441;4083;4141;4158;4049;4034;4065;4252;4254;3890;4220;3817;3476;3234;3605;5011;3561;3615;3708;3978;3990;3271;3902;2157;3177;3074;4453;4910;5568;5280;5288;5647;4953;5639;5310;5133;3036;3620;4011;6977;7210;7039;7133;7397;7127;4922;4438;5508;6112;5821;7926;7249;6881;7817;5399;5302;7105;5216;5595;4833;5503;5497;7098;6957;5886;7162;7160;10226;8095;3886;2605;2364;4924;6716;7319;5519;5240;3587;5110;8921;7181;6567;2119;1168;2302;5076;6480;4538;6082;4723;7987;6823;6797;6763;6627;3756;5445;5031;5634;5565;6464;7453;5413;6860;6038;6330;5417;5563;5256;6052;6144;6512;6259;6968;5001;5774;6032;5971;6282;4890;4154;5235;3170;1278;1527;2225;2763;3181;153264;3241;2656;2820;2458;2520;1902;1865;956334
"350060 Águas de São Pedro";2675;3384;3083;3023;3065;4006;3062;2806;3644;2702;2622;2567;2842;2915;4055;3722;3731;3819;4041;3921;4048;4084;2801;3256;3585;3297;4025;4128;3252;4034;4751;5402;4077;3980;7603;4515;4315;4029;5310;4445;4624;3807;3776;4651;7297;5267;5185;4123;4121;4708;2374;4785;5250;5328;5701;6428;6894;5678;5196;5190;5632;4918;6384;4141;3788;4652;5512;6250;4949;4144;3840;4028;4683;4001;6384;5064;5185;4565;4446;4918;4885;5140;4788;3945;5637;4939;5971;5805;6037;5964;5438;5330;4512;5258;5236;2304;2835;5314;4808;6581;6907;6224;5564;6176;6410;6312;6232;5434;6546;4731;5215;1666;1804;2595;875;316;3735;5780;6167;6709;7770;5982;6167;7496;7470;7450;7876;7600;6696;5990;5239;5242;5555;4791;5448;5896;6798;6697;6064;6150;5666;6087;5756;6116;7460;6988;6050;2134;1750;2717;3355;2780;-;2640;2928;3718;2003;2222;2616;-;745977
"350070 Agudos";19160;24714;24703;9161;29623;40177;25611;43511;31811;73062;35379;31114;19259;26991;27310;28457;29606;35740;25793;28558;30757;29476;29948;24280;22616;25331;27922;30668;30082;28717;27480;29457;31926;30714;28404;31868;26789;29114;27839;34624;31096;36098;29973;32543;33069;36112;32215;35289;25197;25665;34571;35069;32131;35480;32824;33097;34385;32812;31157;32132;21624;30464;30723;30142;31440;32159;28180;30864;33259;32196;33048;31841;11456;32727;28105;33385;31478;32807;30608;25736;38375;36511;34633;32464;24415;32092;32124;32821;35548;34077;31186;36291;37413;33616;9726;30479;30178;34058;35025;37996;34908;32173;42715;39878;42015;44882;33323;44920;31923;43322;38741;49560;44859;43507;31075;43328;33062;40856;42591;46799;30621;36295;45617;50767;44883;50931;41076;35389;44368;45394;40903;42750;34233;52946;45174;52228;47200;52363;33429;57417;61293;56610;54677;53809;40381;58877;53395;28583;28042;33522;40483;41231;42510;40795;47305;46764;40684;47313;45594;43315;5673541
"350075 Alambari";1356;2427;3195;3429;3234;3345;3477;4399;4676;4720;3555;2901;3778;3844;4806;4560;4110;4031;4003;4216;4376;4409;3893;3605;3600;3640;6873;7651;5584;5465;5512;6201;6025;6149;6471;6184;5827;6051;6938;6637;7346;6924;6921;7892;7358;7020;6989;5764;5793;5913;7255;6848;6997;7422;7035;8181;6981;7006;5752;4147;5915;6119;6537;6937;6479;8987;7765;8391;7198;10613;8079;6611;7441;6593;6386;6190;8565;7759;7766;14155;11821;8594;7338;5658;6212;8166;9132;10964;11099;11497;8353;10231;10717;11026;10661;10051;6407;7579;9568;9418;9033;8757;9572;10245;9127;8633;9150;8762;8295;8514;12963;11372;10202;11217;11926;13365;12903;12153;12239;10571;12609;11263;13287;12018;7440;8929;11188;10668;11082;10802;11129;9117;10485;10174;9860;12210;13136;10849;12061;12694;12543;12946;11360;9967;9550;9397;10380;5917;5498;6039;6594;6406;7859;8234;7985;7836;7795;8661;9010;12575;1266227
"350080 Alfredo Marcondes";6473;6105;7193;5970;6343;8019;8120;7708;6623;6530;7695;5193;7522;7086;8613;319480;6984;7134;7388;8078;7626;7553;7666;6598;7003;6421;6645;7289;7282;7831;7734;12350;10023;441337;9543;8938;10674;8789;7932;8695;10317;9039;7893;9205;9026;7974;8939;9122;8156;6985;9473;8078;10186;9369;8252;9789;8857;9695;6665;7554;9531;9063;9811;10918;9402;9118;8689;9255;9116;8619;8007;6911;8574;9936;7840;9266;9355;8759;9283;9796;9062;9535;8191;7525;7783;8548;9536;8660;7382;7596;6558;9291;8724;88175;8305;6166;6913;7778;8512;7759;8329;9077;8284;9294;9852;9350;7464;8794;8095;6907;9901;9039;10455;9033;7817;9095;9579;8301;10215;7746;7049;7611;9055;8853;10353;8745;9048;9208;8264;7532;8921;6017;11348;7708;9821;9879;10488;9659;8559;10747;9579;10645;10152;8727;11199;8614;8455;5314;6308;5612;9571;6906;10575;11513;9808;9580;7905;7420;8501;11152;2183036
