"Município";"Público";"Filantropico";"Privado";"Sindicato";"Total"
"350010 Adamantina";1;3;1;-;5
"350020 Adolfo";1;-;-;-;1
"350030 Aguaí";2;-;-;-;2
"350040 Águas da Prata";1;-;-;-;1
"350050 Águas de Lindóia";2;-;-;-;2
"350055 Águas de Santa Bárbara";2;-;-;-;2
"350060 Águas de São Pedro";1;-;-;-;1
"350070 Agudos";1;1;-;-;2
"350080 Alfredo Marcondes";1;-;-;-;1
"350090 Altair";1;-;-;-;1
"350100 Altinópolis";3;1;-;-;4
"350115 Alumínio";2;-;-;-;2
"350120 Álvares Florence";1;-;-;-;1
"350130 Álvares Machado";2;4;-;-;6
"350140 Álvaro de Carvalho";4;-;-;-;4
"350150 Alvinlândia";1;-;-;-;1
"350160 Americana";10;6;21;-;37
"350170 Américo Brasiliense";4;-;-;-;4
"350180 Américo de Campos";1;-;-;-;1
"350190 Amparo";14;5;4;-;23
"350210 Andradina";8;1;3;-;12
"350220 Angatuba";3;-;-;-;3
"350230 Anhembi";1;-;-;-;1
"350240 Anhumas";1;-;-;-;1
"350250 Aparecida";1;-;-;-;1
"350270 Apiaí";2;-;-;-;2
"350275 Araçariguama";1;-;-;-;1
"350280 Araçatuba";19;7;8;-;34
"350290 Araçoiaba da Serra";2;-;-;-;2
"350300 Aramina";1;-;-;-;1
"350310 Arandu";1;-;-;-;1
"350320 Araraquara";21;8;17;-;46
"350330 Araras";9;1;9;-;19
"350350 Areias";1;-;-;-;1
"350360 Areiópolis";1;-;1;-;2
"350370 Ariranha";3;-;-;-;3
"350380 Artur Nogueira";2;-;-;-;2
"350390 Arujá";2;-;-;-;2
"350400 Assis";30;-;4;-;34
"350410 Atibaia";7;-;43;-;50
"350420 Auriflama";2;-;-;-;2
"350430 Avaí";1;-;-;-;1
"350440 Avanhandava";1;-;-;-;1
"350450 Avaré";10;4;1;-;15
"350460 Bady Bassitt";1;-;-;-;1
"350480 Bálsamo";2;-;-;-;2
"350500 Barão de Antonina";1;-;-;-;1
"350520 Bariri";1;-;-;-;1
"350530 Barra Bonita";5;1;2;-;8
"350540 Barra do Turvo";1;-;-;-;1
"350550 Barretos";9;4;11;-;24
"350560 Barrinha";2;-;-;-;2
"350570 Barueri";26;-;2;-;28
"350580 Bastos";2;-;-;-;2
"350590 Batatais";4;6;1;-;11
