"Município";"Sim";"Não";"Total"
"350010 Adamantina";14;29;43
"350020 Adolfo";3;-;3
"350030 Aguaí";5;10;15
"350040 Águas da Prata";1;1;2
"350050 Águas de Lindóia";4;3;7
"350055 Águas de Santa Bárbara";2;1;3
"350060 Águas de São Pedro";1;-;1
"350070 Agudos";13;5;18
"350075 Alambari";1;-;1
"350080 Alfredo Marcondes";1;-;1
"350090 Altair";1;-;1
"350100 Altinópolis";8;2;10
"350110 Alto Alegre";1;-;1
"350115 Alumínio";2;1;3
"350120 Álvares Florence";1;-;1
"350130 Álvares Machado";11;1;12
"350140 Álvaro de Carvalho";2;-;2
"350150 Alvinlândia";1;-;1
"350160 Americana";27;266;293
"350170 Américo Brasiliense";9;1;10
"350180 Américo de Campos";1;-;1
"350190 Amparo";25;26;51
"350210 Andradina";22;47;69
"350220 Angatuba";5;2;7
"350230 Anhembi";1;-;1
"350240 Anhumas";3;-;3
"350250 Aparecida";5;3;8
"350260 Aparecida d'Oeste";2;-;2
"350270 Apiaí";4;1;5
"350275 Araçariguama";5;1;6
"350280 Araçatuba";47;119;166
"350290 Araçoiaba da Serra";5;11;16
"350300 Aramina";2;-;2
"350310 Arandu";2;-;2
"350315 Arapeí";1;-;1
"350320 Araraquara";67;99;166
"350330 Araras";18;38;56
"350335 Arco-Íris";1;-;1
"350340 Arealva";3;1;4
"350350 Areias";1;-;1
"350360 Areiópolis";2;1;3
"350370 Ariranha";9;-;9
"350380 Artur Nogueira";8;10;18
"350390 Arujá";5;21;26
"350395 Aspásia";2;-;2
"350400 Assis";26;74;100
"350410 Atibaia";18;100;118
"350420 Auriflama";3;2;5
"350430 Avaí";1;-;1
"350440 Avanhandava";2;-;2
"350450 Avaré";22;36;58
"350460 Bady Bassitt";4;-;4
"350480 Bálsamo";3;-;3
"350490 Bananal";2;-;2
"350500 Barão de Antonina";1;-;1
"350510 Barbosa";1;-;1
"350520 Bariri";4;3;7
"350530 Barra Bonita";5;16;21
"350540 Barra do Turvo";1;-;1
"350550 Barretos";48;29;77
"350560 Barrinha";4;2;6
"350570 Barueri";70;53;123
"350580 Bastos";6;2;8
"350590 Batatais";16;29;45
"350600 Bauru";82;126;208
"350610 Bebedouro";20;37;57
"350620 Bento de Abreu";1;-;1
"350630 Bernardino de Campos";4;1;5
"350635 Bertioga";6;6;12
"350640 Bilac";2;-;2
"350650 Birigui";15;25;40
"350660 Biritiba-Mirim";2;2;4
"350670 Boa Esperança do Sul";3;1;4
"350680 Bocaina";2;4;6
"350690 Bofete";1;-;1
"350700 Boituva";12;19;31
"350710 Bom Jesus dos Perdões";4;-;4
"350715 Bom Sucesso de Itararé";1;-;1
"350720 Borá";1;-;1
"350730 Boracéia";1;-;1
"350740 Borborema";1;2;3
"350745 Borebi";2;-;2
"350750 Botucatu";99;95;194
"350760 Bragança Paulista";37;43;80
"350770 Braúna";1;-;1
"350775 Brejo Alegre";1;-;1
"350780 Brodowski";7;6;13
"350790 Brotas";4;8;12
"350800 Buri";2;-;2
"350810 Buritama";3;3;6
"350820 Buritizal";1;-;1
"350830 Cabrália Paulista";1;-;1
"350840 Cabreúva";10;10;20
"350850 Caçapava";11;52;63
"350860 Cachoeira Paulista";19;13;32
"350870 Caconde";6;2;8
"350880 Cafelândia";8;9;17
"350890 Caiabu";1;-;1
"350900 Caieiras";19;17;36
"350910 Caiuá";6;-;6
"350920 Cajamar";17;8;25
"350925 Cajati";8;3;11
"350930 Cajobi";3;-;3
"350940 Cajuru";5;7;12
"350945 Campina do Monte Alegre";1;-;1
"350950 Campinas";275;365;640
"350960 Campo Limpo Paulista";16;3;19
"350970 Campos do Jordão";10;7;17
"350980 Campos Novos Paulista";3;-;3
"350990 Cananéia";2;-;2
"350995 Canas";2;-;2
"351000 Cândido Mota";7;9;16
"351010 Cândido Rodrigues";1;-;1
"351015 Canitar";1;-;1
"351020 Capão Bonito";9;2;11
"351030 Capela do Alto";3;3;6
"351040 Capivari";11;22;33
"351050 Caraguatatuba";20;28;48
"351060 Carapicuíba";40;9;49
