|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
0|350010 Adamantina|2020|350010|Adamantina|5349|6252|15554|7956|17085|18026|35111|368736.08|29446.43||24945.58|2359.92||13.5|28.5|42.0|21.5|69.5||126.0|139.0|145.0|||||
1|350020 Adolfo|2020|350020|Adolfo|574|608|1575|797|1754|1800|3554|1496.2|||3122.92|||3.0|0.0|3.0|2.5|1.0||4.0|4.5|5.5|||||
2|350030 Aguaí|2020|350030|Aguaí|7928|8266|15055|5399|18756|17892|36648|72510.73|2009.02||36238.42|234.67||5.0|10.0|15.0|14.5|17.0||54.0|57.5|64.5|||||
3|350040 Águas da Prata|2020|350040|Águas da Prata|1307|1389|3521|2004|4075|4146|8221|4813.42|27.12||3931.08|9.58||1.0|0.5|1.5|3.0|1.0||2.0|3.0|4.0|||||
4|350050 Águas de Lindóia|2020|350050|Águas de Lindóia|3229|3683|8168|3728|9207|9601|18808|20172.19|0.0||2408.25|419.08||4.0|3.0|7.0|7.0|19.5||33.0|40.5|41.5|||||
5|350055 Águas de Santa Bárbara|2020|350055|Águas de Santa Bárbara|1185|1239|2526|1159|3012|3097|6109|1106.95|10.14||15459.5|3.58||1.5|1.0|2.5|4.0|1.0||9.0|10.0|11.0|||||
6|350060 Águas de São Pedro|2020|350060|Águas de São Pedro|471|567|1482|1001|1679|1842|3521|4289.01|0.0||3543.33|0.0||1.0|0.0|1.0|3.0|3.0||5.0|5.0|6.0|||||
7|350070 Agudos|2020|350070|Agudos|7549|7957|15980|5915|18592|18809|37401|98491.24|22388.08||41824.0|1595.33||13.0|4.5|17.5|14.0|12.0||44.5|45.5|46.5|||||
8|350075 Alambari|2020|350075|Alambari|1394|1355|2473|907|3082|3047|6129|1413.94|2.12||7641.25|0.75||1.0|0.0|1.0|7.0|0.0||6.0|6.0|8.0|||||
9|350080 Alfredo Marcondes|2020|350080|Alfredo Marcondes|579|705|1824|1076|2159|2025|4184|1285.32|||8621.25|||1.0|0.0|1.0|2.0|0.0||1.5|1.5|2.5|||||
10|350090 Altair|2020|350090|Altair|947|977|1765|497|2263|1923|4186|846.32|0.0||2573.92|0.0||1.0|0.0|1.0|7.0|0.0||6.0|7.0|9.0|||||
11|350100 Altinópolis|2020|350100|Altinópolis|2827|3386|6795|3195|8099|8104|16203|42004.9|46.7||15549.33|16.5||8.0|2.0|10.0|15.0|8.0||34.0|40.0|44.0|||||
12|350110 Alto Alegre|2020|350110|Alto Alegre|651|721|1736|980|2103|1985|4088|8610.24|7.55||1649.83|2.67||1.0|0.0|1.0|6.0|0.0||6.0|7.0|8.0|||||
13|350115 Alumínio|2020|350115|Alumínio|4120|4540|7777|2330|9538|9229|18767|26711.39|93.35||6094.5|36.58||2.0|1.0|3.0|7.0|4.0||6.5|10.0|12.0|||||
14|350120 Álvares Florence|2020|350120|Álvares Florence|467|577|1667|936|1866|1781|3647|2863.3|0.0||615.5|0.0||1.0|0.0|1.0|4.0|0.0||3.0|3.0|4.0|||||
15|350130 Álvares Machado|2020|350130|Álvares Machado|4510|5311|10527|4650|12331|12667|24998|124359.78|83258.25||17482.92|5604.75||11.0|1.0|12.0|11.0|8.0||15.5|20.0|22.0|||||
16|350140 Álvaro de Carvalho|2020|350140|Álvaro de Carvalho|897|1239|2433|705|3396|1878|5274|3258.46|0.0||3474.67|0.0||2.5|0.0|2.5|3.0|0.0||2.0|2.0|3.0|||||
17|350150 Alvinlândia|2020|350150|Alvinlândia|728|673|1318|518|1580|1657|3237|1512.68|0.0||3128.58|0.0||1.0|0.0|1.0|3.0|0.0||1.0|1.0|3.0|||||
18|350160 Americana|2020|350160|Americana|41187|48629|109406|42796|118796|123222|242018|452872.25|17411.51||62594.17|1583.5||26.5|252.0|278.5|36.0|260.5||914.5|934.0|939.0|||||
19|350170 Américo Brasiliense|2020|350170|Américo Brasiliense|9196|9778|17472|4586|20555|20477|41032|77154.03|120.34||19444.25|94.58||9.0|1.0|10.0|18.0|7.0||21.5|26.0|31.0|||||
