|Atendimentos_valor_medio|Estabelecimentos_Atend_1000|Estabelecimentos_Privados_1000|Profissionais_Privados_1000|Estabelecimentos_Publicos_1000|Renda média (R$)|Profissionais_Publicos_Prop|Estabelecimentos_Psi_Prop|Estabelecimentos_Publicos|Município|Psi_valor_medio|Estabelecimentos_Atend_Prop|Assalariados|Profissionais_Privados|Estabelecimentos_Total|Estabelecimentos_Psi_1000|Profissionais_Total_1000|Profissionais_Publicos_1000|Atendimentos_valor_medio_1000|Profissionais_Total|Estabelecimentos_Privados|Estabelecimentos_Privados_Prop|60+ anos_1000|Profissionais_Publicos|Contribuição para o PIB estadual %|0 a 14 anos|Assalariados_1000|Masculino|Psi_valor_medio_1000|Psi_qtd_media_1000|Masculino_1000|Profissionais_Privados_Prop|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Publicos_Prop|Estabelecimentos_Psi|Feminino_1000|Cidades|60+ anos|0 a 14 anos_1000|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|15 a 29 anos_1000|Psi_qtd_media|PIB (mil R$)_1000|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media_1000|Estabelecimentos_Total_1000|30 a 59 anos_1000|Atendimentos_qtd_media|Code
0|368736.08|3.9588732875736947|1.9794366437868474|0.811711429466549|0.6123437099484492|2157.34|0.32142857142857145|0.47547169811320755|21.5|350010 Adamantina|29446.43|0.5245283018867924|10297.0|28.5|91.0|3.5886189513257953|1.1962063171085986|0.38449488764204953|10502.0101962348|42.0|69.5|0.7637362637362637|0.22659565378371452|13.5|0.05|5349|293.2699154111247|17085|838.6667995784796|67.21312409216485|0.4865996411381049|0.6785714285714286|2.2|6252|0.23626373626373626|126.0|0.5134003588618952|Adamantina|7956|0.1523454188146165|1084405.125|139.0|35111|0.17806385463245136|2359.92|30885.053829284272|2020|18026|15554|710.4776280937598|2.591780353735297|0.4429950727692176|24945.58|350010
18|452872.25|3.859217083026882|1.0763662206943285|1.0412448660843407|0.14874926658347726|2817.01|0.09515260323159784|0.4947254530700568|36.0|350160 Americana|17411.51|0.5052745469299432|71482.0|252.0|296.5|3.778644563627499|1.150740853986067|0.10949598790172632|1871.2337512085876|278.5|260.5|0.8785834738617201|0.17682982257518035|26.5|0.51|41187|295.3581964977812|118796|71.94303729474666|6.542901767637118|0.4908560520291879|0.9048473967684022|2.8|48629|0.12141652613827993|914.5|0.5091439479708121|Americana|42796|0.17018155674371327|11332408.168|934.0|242018|0.20093133568577543|1583.5|46824.65010040576|2020|123222|109406|258.6343577750415|1.2251154872778056|0.45205728499533093|62594.17|350160
21|513546.71|3.955859487870991|1.5479450169929965|0.3508675371850792|0.4540638716512789|2695.72|0.49504950495049505|0.48934280639431615|33.0|350190 Amparo|1621.85|0.5106571936056838|21921.0|25.5|145.5|3.790745352725071|0.6948553187390784|0.34398778155399923|7066.1517398902|50.5|112.5|0.7731958762886598|0.19084442120615877|25.0|0.21|12013|301.62224637780866|35749|22.315863340534143|20.922437635015203|0.4918887681109567|0.504950495049505|2.7|14611|0.2268041237113402|275.5|0.5081112318890433|Amparo|13870|0.1652930087923277|4646509.88|287.5|72677|0.2010402190514193|1520.58|63933.70502359756|2020|36928|32183|674.3444280859144|2.0020088886442755|0.44282235095009426|49009.33|350190
23|316655.3|3.872242229292682|1.15380581098563|0.7866857802174749|0.36712003076815497|2215.23|0.3283582089552239|0.4908045977011494|21.0|350210 Andradina|13923.86|0.5091954022988506|15232.0|45.0|87.0|3.7323869794762423|1.171287717212685|0.38460193699521|5535.738260899969|67.0|66.0|0.7586206896551724|0.19439879724485157|22.0|0.09|9668|266.2843956505017|28331|243.41561483864203|23.887626306772493|0.49527988531869516|0.6716417910447762|2.2|11055|0.2413793103448276|213.5|0.5047201146813048|Andradina|11120|0.1690150694031677|1922486.331|221.5|57202|0.193262473340093|1366.42|33608.72576133702|2020|28871|25359|986.9527289255619|1.5209258417537848|0.4433236600118877|56455.67|350210
31|1904832.77|4.138717704122062|1.2416153112366184|0.5728590968510415|0.31545104452149864|2420.18|0.29283489096573206|0.4612352168199737|62.5|350280 Araçatuba|14023.32|0.5387647831800263|50343.0|113.5|308.5|3.5431461320654725|0.8100782823312084|0.23721918548016696|9614.103790964473|160.5|246.0|0.7974068071312804|0.18895769927673384|47.0|0.33|33746|254.09203094953287|95896|70.77873506654755|17.904143260199163|0.4840078938469381|0.7071651090342679|2.4|37795|0.2025931928687196|702.0|0.5159921061530619|Araçatuba|37438|0.17032337517475987|7349421.342|820.0|198129|0.19075955564304065|3547.33|37094.12222339991|2020|102233|89150|854.6771547829949|1.5570663557581172|0.44995936990546564|169336.33|350280
36|1681436.13|3.21810530378998|1.5608020508603293|0.4111790349040652|0.4300597048741498|2583.69|0.40425531914893614|0.4778761061946903|102.5|350320 Araraquara|9335.7|0.5221238938053098|73396.0|98.0|474.5|2.945384515333202|0.690193380017538|0.2790143451134728|7054.809032512513|164.5|372.0|0.7839831401475237|0.182026441329367|66.5|0.43|41441|307.94792291651805|114999|39.16983791993757|7.723578600229085|0.48250181464216935|0.5957446808510638|2.6|47668|0.2160168598524763|702.0|0.5174981853578307|Araraquara|43384|0.17387418760672824|9409114.424|767.0|238339|0.20000083914088757|1840.83|39477.86314451265|2020|123340|105846|496.57244513067525|1.990861755734479|0.44409853192301724|118352.58|350320
37|614547.54|2.232373474237303|0.9003291367171933|0.2730506398240668|0.2951898808908831|2791.54|0.3508771929824561|0.47253705318221445|40.0|350330 Araras|364.29|0.5274629468177855|36710.0|37.0|162.0|1.9999114430357328|0.4206455802695084|0.14759494044544155|4535.20537835963|57.0|122.0|0.7530864197530864|0.17078948533644267|20.0|0.25|24592|270.91051318760793|66691|2.688368042743495|4.5920475846088|0.49216270866234707|0.6491228070175439|2.8|28063|0.24691358024691357|271.0|0.507837291337653|Araras|23143|0.18148273877171492|5565138.216|302.5|135506|0.20709784068602127|622.25|41069.312178058535|2020|68815|59708|534.1602585863357|1.1955190176080763|0.44062993520582117|72381.92|350330
46|732438.86|3.939592908732764|1.80326776861077|0.6851465928230894|0.5471656817684395|2459.74|0.26903553299492383|0.49295774647887325|57.5|350400 Assis|21417.9|0.5070422535211268|21319.0|72.0|247.0|3.830159772379077|0.9373186026815876|0.2521720098584982|6969.833185836497|98.5|189.5|0.7672064777327935|0.18346703207818285|26.5|0.15|19023|202.87000294993672|51644|203.81112792257844|14.890043487776795|0.49144042555216155|0.7309644670050761|2.5|20953|0.23279352226720648|402.5|0.5085595744478385|Assis|19280|0.18102143937880041|3363335.667|414.0|105087|0.19938717443641935|1564.75|32005.249621741983|2020|53443|45831|548.3035960680198|2.3504334503792097|0.4361243541065974|57619.58|350400
47|394654.7|2.2347454333462884|0.9959191605130198|0.6662595080783965|0.22902670590194882|2636.71|0.16883116883116883|0.4949019607843137|33.0|350410 Atibaia|637.79|0.5050980392156863|39422.0|96.0|176.5|2.1896341124868135|0.8015934706568209|0.13533396257842428|2738.9838154461163|115.5|143.5|0.8130311614730878|0.17759980012214757|19.5|0.32|26972|273.5966909111099|70494|4.426392204763755|4.175087446560435|0.4892426850258176|0.8311688311688312|2.6|29598|0.18696883852691218|315.5|0.5107573149741824|Atibaia|25590|0.18719116095719282|7140404.267000001|322.0|144088|0.20541613458442062|601.58|49555.8566084615|2020|73594|61928|345.47519571373056|1.2249458664149686|0.42979290433623896|49778.83|350410
51|507540.47|2.8169940371799367|0.7289109084531743|0.39459838653104173|0.37815678709224837|2143.88|0.38461538461538464|0.482897384305835|34.5|350450 Avaré|9967.53|0.5171026156941649|21022.0|36.0|101.0|2.630655910206945|0.6412223781129429|0.24662399158190107|5563.184737811294|58.5|66.5|0.6584158415841584|0.1707624517713083|22.5|0.12|17923|230.42353560154334|45269|109.25475710277097|7.982396527534198|0.49619650999649245|0.6153846153846154|2.1|19087|0.3415841584158416|240.0|0.5038034900035075|Avaré|15579|0.19645519116099613|2737160.7569999998|257.0|91232|0.20921387232549982|728.25|30002.20051078569|2020|45963|38643|560.9481322343038|1.1070676955454226|0.4235684847421957|51176.42|350450
