|Psi_qtd_media_1000|Psi_valor_medio_1000|Profissionais_Publicos_1000|Profissionais_Privados_1000|Profissionais_Total_1000|0 a 14 anos_1000|15 a 29 anos_1000|30 a 59 anos_1000|60+ anos_1000|Feminino_1000|Masculino_1000|Atendimentos_valor_medio_1000|Atendimentos_qtd_media_1000|Estabelecimentos_Psi_1000|Estabelecimentos_Atend_1000|Estabelecimentos_Publicos_1000|Estabelecimentos_Privados_1000|Estabelecimentos_Total_1000|PIB (mil R$)_1000|Assalariados_1000|Profissionais_Privados_Prop|Profissionais_Publicos_Prop|Estabelecimentos_Psi_Prop|Estabelecimentos_Atend_Prop|Estabelecimentos_Publicos_Prop|Estabelecimentos_Privados_Prop|Contribuição para o PIB estadual %|Renda média (R$)|Renda média em Salários mínimos|Code|Cidades|data_ref|Município
0|67.21312409216485|838.6667995784796|0.38449488764204953|0.811711429466549|1.1962063171085986|0.1523454188146165|0.17806385463245136|0.4429950727692176|0.22659565378371452|0.5134003588618952|0.4865996411381049|10502.0101962348|710.4776280937598|3.5886189513257953|3.9588732875736947|0.6123437099484492|1.9794366437868474|2.591780353735297|30885.053829284272|293.2699154111247|0.6785714285714286|0.32142857142857145|0.47547169811320755|0.5245283018867924|0.23626373626373626|0.7637362637362637|0.05|2157.34|2.2|350010|Adamantina|2020|350010 Adamantina
18|6.542901767637118|71.94303729474666|0.10949598790172632|1.0412448660843407|1.150740853986067|0.17018155674371327|0.20093133568577543|0.45205728499533093|0.17682982257518035|0.5091439479708121|0.4908560520291879|1871.2337512085876|258.6343577750415|3.778644563627499|3.859217083026882|0.14874926658347726|1.0763662206943285|1.2251154872778056|46824.65010040576|295.3581964977812|0.9048473967684022|0.09515260323159784|0.4947254530700568|0.5052745469299432|0.12141652613827993|0.8785834738617201|0.51|2817.01|2.8|350160|Americana|2020|350160 Americana
21|20.922437635015203|22.315863340534143|0.34398778155399923|0.3508675371850792|0.6948553187390784|0.1652930087923277|0.2010402190514193|0.44282235095009426|0.19084442120615877|0.5081112318890433|0.4918887681109567|7066.1517398902|674.3444280859144|3.790745352725071|3.955859487870991|0.4540638716512789|1.5479450169929965|2.0020088886442755|63933.70502359756|301.62224637780866|0.504950495049505|0.49504950495049505|0.48934280639431615|0.5106571936056838|0.2268041237113402|0.7731958762886598|0.21|2695.72|2.7|350190|Amparo|2020|350190 Amparo
23|23.887626306772493|243.41561483864203|0.38460193699521|0.7866857802174749|1.171287717212685|0.1690150694031677|0.193262473340093|0.4433236600118877|0.19439879724485157|0.5047201146813048|0.49527988531869516|5535.738260899969|986.9527289255619|3.7323869794762423|3.872242229292682|0.36712003076815497|1.15380581098563|1.5209258417537848|33608.72576133702|266.2843956505017|0.6716417910447762|0.3283582089552239|0.4908045977011494|0.5091954022988506|0.2413793103448276|0.7586206896551724|0.09|2215.23|2.2|350210|Andradina|2020|350210 Andradina
31|17.904143260199163|70.77873506654755|0.23721918548016696|0.5728590968510415|0.8100782823312084|0.17032337517475987|0.19075955564304065|0.44995936990546564|0.18895769927673384|0.5159921061530619|0.4840078938469381|9614.103790964473|854.6771547829949|3.5431461320654725|4.138717704122062|0.31545104452149864|1.2416153112366184|1.5570663557581172|37094.12222339991|254.09203094953287|0.7071651090342679|0.29283489096573206|0.4612352168199737|0.5387647831800263|0.2025931928687196|0.7974068071312804|0.33|2420.18|2.4|350280|Araçatuba|2020|350280 Araçatuba
36|7.723578600229085|39.16983791993757|0.2790143451134728|0.4111790349040652|0.690193380017538|0.17387418760672824|0.20000083914088757|0.44409853192301724|0.182026441329367|0.5174981853578307|0.48250181464216935|7054.809032512513|496.57244513067525|2.945384515333202|3.21810530378998|0.4300597048741498|1.5608020508603293|1.990861755734479|39477.86314451265|307.94792291651805|0.5957446808510638|0.40425531914893614|0.4778761061946903|0.5221238938053098|0.2160168598524763|0.7839831401475237|0.43|2583.69|2.6|350320|Araraquara|2020|350320 Araraquara
37|4.5920475846088|2.688368042743495|0.14759494044544155|0.2730506398240668|0.4206455802695084|0.18148273877171492|0.20709784068602127|0.44062993520582117|0.17078948533644267|0.507837291337653|0.49216270866234707|4535.20537835963|534.1602585863357|1.9999114430357328|2.232373474237303|0.2951898808908831|0.9003291367171933|1.1955190176080763|41069.312178058535|270.91051318760793|0.6491228070175439|0.3508771929824561|0.47253705318221445|0.5274629468177855|0.24691358024691357|0.7530864197530864|0.25|2791.54|2.8|350330|Araras|2020|350330 Araras
46|14.890043487776795|203.81112792257844|0.2521720098584982|0.6851465928230894|0.9373186026815876|0.18102143937880041|0.19938717443641935|0.4361243541065974|0.18346703207818285|0.5085595744478385|0.49144042555216155|6969.833185836497|548.3035960680198|3.830159772379077|3.939592908732764|0.5471656817684395|1.80326776861077|2.3504334503792097|32005.249621741983|202.87000294993672|0.7309644670050761|0.26903553299492383|0.49295774647887325|0.5070422535211268|0.23279352226720648|0.7672064777327935|0.15|2459.74|2.5|350400|Assis|2020|350400 Assis
47|4.175087446560435|4.426392204763755|0.13533396257842428|0.6662595080783965|0.8015934706568209|0.18719116095719282|0.20541613458442062|0.42979290433623896|0.17759980012214757|0.5107573149741824|0.4892426850258176|2738.9838154461163|345.47519571373056|2.1896341124868135|2.2347454333462884|0.22902670590194882|0.9959191605130198|1.2249458664149686|49555.8566084615|273.5966909111099|0.8311688311688312|0.16883116883116883|0.4949019607843137|0.5050980392156863|0.18696883852691218|0.8130311614730878|0.32|2636.71|2.6|350410|Atibaia|2020|350410 Atibaia
51|7.982396527534198|109.25475710277097|0.24662399158190107|0.39459838653104173|0.6412223781129429|0.19645519116099613|0.20921387232549982|0.4235684847421957|0.1707624517713083|0.5038034900035075|0.49619650999649245|5563.184737811294|560.9481322343038|2.630655910206945|2.8169940371799367|0.37815678709224837|0.7289109084531743|1.1070676955454226|30002.20051078569|230.42353560154334|0.6153846153846154|0.38461538461538464|0.482897384305835|0.5171026156941649|0.3415841584158416|0.6584158415841584|0.12|2143.88|2.1|350450|Avaré|2020|350450 Avaré
62|21.39286673776591|209.61956477493834|0.3785627640780572|0.23202233927364796|0.6105851033517052|0.18401406788078123|0.20263284296565257|0.4408424446199311|0.1725106445336351|0.51635961020247|0.48364038979753|50910.85490055604|1424.0357232991134|2.3120822580251232|2.572598568788518|0.37449219672237916|0.8995953856048455|1.2740875823272249|39560.77825177273|248.68724202779381|0.38|0.62|0.47333333333333333|0.5266666666666666|0.2939297124600639|0.7060702875399361|0.22|2397.09|2.4|350550|Barretos|2020|350550 Barretos
64|14.788253388306822|13.968019582499945|0.2545291751810587|0.19315334570477502|0.4476825208858337|0.21809359452960841|0.23739448772844446|0.4249120881501325|0.11959982959181463|0.5172791011690291|0.48272089883097097|5701.179571235676|1141.1159569935953|1.2527889898982605|1.3899820204923063|0.1877378313392206|0.8971702132268523|1.084908044566073|182562.92461965035|1004.5779148103486|0.4314516129032258|0.5685483870967742|0.47404371584699456|0.5259562841530054|0.17304492512479203|0.826955074875208|2.29|4091.67|4.1|350570|Barueri|2020|350570 Barueri
66|37.406001905366786|86.61209907907272|0.2540489044140997|0.4525246109876151|0.7065735154017149|0.18234360114322007|0.21190854239441093|0.4215147665925691|0.18423308986979994|0.5081771991108288|0.4918228008891712|6841.750714512544|863.124483963163|4.104477611940299|4.215624007621467|0.38107335662114955|0.825658939345824|1.2067322959669737|25247.197221340106|234.21721181327408|0.6404494382022472|0.3595505617977528|0.4933206106870229|0.5066793893129771|0.3157894736842105|0.6842105263157895|0.07|2499.35|2.5|350590|Batatais|2020|350590 Batatais
67|6.760533302398912|53.39765408110267|0.2082800549437512|0.3282388207657851|0.5365188757095363|0.18226350327052415|0.20829587368210137|0.43335433710258714|0.17608628594478734|0.5157515087121701|0.4842484912878299|7690.082099252038|704.6024091938508|2.092028146808438|2.2291238791764765|0.275509692931924|0.9253961934842617|1.200905886416186|38603.15466771422|332.1645043330161|0.6117936117936118|0.3882063882063882|0.4841366687004271|0.515863331299573|0.22941822173435786|0.7705817782656421|0.66|2646.22|2.7|350600|Bauru|2020|350600 Bauru
68|39.09058087808652|416.2402166204629|0.2772226162078525|0.45773966862226806|0.7349622848301206|0.17502417639094836|0.20073496228483012|0.4322867642318355|0.19195409709238606|0.515505125394881|0.484494874605119|7461.997808007221|501.90729159950996|3.133260266907356|3.6619173489781445|0.3803752175875185|1.212043066211076|1.5924182837985945|43124.896731351946|348.8620978660306|0.6228070175438597|0.37719298245614036|0.46110056925996207|0.538899430740038|0.2388663967611336|0.7611336032388664|0.15|2305.42|2.3|350610|Bebedouro|2020|350610 Bebedouro
73|4.134509901267586|45.63135094448403|0.1201124252300153|0.19618362787569166|0.3162960531057069|0.18142581456243043|0.2019970692568244|0.44640983960987485|0.17016727657087033|0.5103737097923656|0.4896262902076343|1803.1157963854168|673.4176789474948|1.4813865778368553|1.7416301658352218|0.2402248504600306|0.816764491564104|1.0569893420241347|26717.564440316135|238.83154632736242|0.620253164556962|0.379746835443038|0.45962732919254656|0.5403726708074534|0.22727272727272727|0.7727272727272727|0.15|1975.69|2.0|350650|Birigui|2020|350650 Birigui
85|31.080807398906366|29.463781813272128|0.6177006683318707|0.6379531492607844|1.255653817592655|0.19360021602646324|0.20951191520961318|0.42493080402349287|0.1719570647404307|0.5133396341051779|0.4866603658948221|16525.277594005267|1243.8331195571457|4.104502801593195|4.381286707621683|0.31053804091001147|0.8303517180854655|1.140889758995477|31211.837379328965|279.28171200972116|0.5080645161290323|0.49193548387096775|0.48369132856006364|0.5163086714399363|0.27218934911242604|0.727810650887574|0.21|2932.7|2.9|350750|Botucatu|2020|350750 Botucatu
86|2.686694070942281|2.9535046002826433|0.21403482024007084|0.2521506101458369|0.4661854303859077|0.18233421097382913|0.21229908580743903|0.4356458867198724|0.16972081649885945|0.507690593609448|0.492309406390552|9342.309992787319|506.9849823787771|2.272287475151437|2.3778388933520196|0.31079028692393845|1.2695490022458997|1.580339289169838|36975.28769798221|257.0528871244862|0.5408805031446541|0.4591194968553459|0.48865069356872637|0.5113493064312736|0.19666048237476808|0.8033395176252319|0.29|2486.45|2.5|350760|Bragança Paulista|2020|350760 Bragança Paulista
96|6.434780778378833|3.910627460060199|0.11576753878212549|0.5472647287882296|0.6630322675703552|0.19946746932160223|0.208813066997832|0.4280978340945926|0.16362162958597318|0.5031046749037025|0.4968953250962975|1655.6605064303606|583.5981603485656|3.046791134311394|3.209918120777116|0.38413774232250736|1.1945105137973857|1.5786482561198931|45448.699351701776|219.75836157359657|0.8253968253968254|0.1746031746031746|0.48696383515559294|0.5130361648444071|0.24333333333333335|0.7566666666666667|0.2|3078.96|3.1|350850|Caçapava|2020|350850 Caçapava
101|6.693456579907565|15.621892483580638|0.184869861347604|0.16540987594259304|0.35027973729019707|0.21637557771831673|0.23330576502067624|0.43102894672828995|0.1192897105327171|0.5142787642909268|0.4857212357090732|1164.3673072245194|270.42247628314277|0.5059596205302846|0.7005594745803941|0.2529798102651423|0.4573096570177572|0.7102894672828995|34602.892580880565|203.01629773777668|0.4722222222222222|0.5277777777777778|0.41935483870967744|0.5806451612903226|0.3561643835616438|0.6438356164383562|0.16|2785.78|2.8|350900|Caieiras|2020|350900 Caieiras
