|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
0|368736.08|2157.34|21.5|350010|350010 Adamantina|29446.43|28.5|10297.0|91.0|42.0|69.5|0.05|5349|17085|2.2|6252|126.0|Adamantina|7956|1084405.125|139.0|35111|2359.92|2020|18026|15554|24945.58|13.5
18|452872.25|2817.01|36.0|350160|350160 Americana|17411.51|252.0|71482.0|296.5|278.5|260.5|0.51|41187|118796|2.8|48629|914.5|Americana|42796|11332408.168|934.0|242018|1583.5|2020|123222|109406|62594.17|26.5
21|513546.71|2695.72|33.0|350190|350190 Amparo|1621.85|25.5|21921.0|145.5|50.5|112.5|0.21|12013|35749|2.7|14611|275.5|Amparo|13870|4646509.88|287.5|72677|1520.58|2020|36928|32183|49009.33|25.0
23|316655.3|2215.23|21.0|350210|350210 Andradina|13923.86|45.0|15232.0|87.0|67.0|66.0|0.09|9668|28331|2.2|11055|213.5|Andradina|11120|1922486.331|221.5|57202|1366.42|2020|28871|25359|56455.67|22.0
31|1904832.77|2420.18|62.5|350280|350280 Araçatuba|14023.32|113.5|50343.0|308.5|160.5|246.0|0.33|33746|95896|2.4|37795|702.0|Araçatuba|37438|7349421.342|820.0|198129|3547.33|2020|102233|89150|169336.33|47.0
36|1681436.13|2583.69|102.5|350320|350320 Araraquara|9335.7|98.0|73396.0|474.5|164.5|372.0|0.43|41441|114999|2.6|47668|702.0|Araraquara|43384|9409114.424|767.0|238339|1840.83|2020|123340|105846|118352.58|66.5
37|614547.54|2791.54|40.0|350330|350330 Araras|364.29|37.0|36710.0|162.0|57.0|122.0|0.25|24592|66691|2.8|28063|271.0|Araras|23143|5565138.216|302.5|135506|622.25|2020|68815|59708|72381.92|20.0
46|732438.86|2459.74|57.5|350400|350400 Assis|21417.9|72.0|21319.0|247.0|98.5|189.5|0.15|19023|51644|2.5|20953|402.5|Assis|19280|3363335.667|414.0|105087|1564.75|2020|53443|45831|57619.58|26.5
47|394654.7|2636.71|33.0|350410|350410 Atibaia|637.79|96.0|39422.0|176.5|115.5|143.5|0.32|26972|70494|2.6|29598|315.5|Atibaia|25590|7140404.267000001|322.0|144088|601.58|2020|73594|61928|49778.83|19.5
51|507540.47|2143.88|34.5|350450|350450 Avaré|9967.53|36.0|21022.0|101.0|58.5|66.5|0.12|17923|45269|2.1|19087|240.0|Avaré|15579|2737160.7569999998|257.0|91232|728.25|2020|45963|38643|51176.42|22.5
62|6253533.04|2397.09|46.0|350550|350550 Barretos|25748.2|28.5|30547.0|156.5|75.0|110.5|0.22|22603|59407|2.4|24890|284.0|Barretos|21190|4859369.075|316.0|122833|2627.75|2020|63426|54150|174918.58|46.5
64|1579124.12|4091.67|52.0|350570|350570 Barueri|3868.89|53.5|278250.0|300.5|124.0|248.5|2.29|60408|133705|4.1|65754|347.0|Barueri|33127|50566643.986999996|385.0|276982|4096.08|2020|143277|117693|316068.58|70.5
66|430893.46|2499.35|24.0|350590|350590 Batatais|5454.83|28.5|14751.0|76.0|44.5|52.0|0.07|11484|30975|2.5|13346|258.5|Batatais|11603|1590068.481|265.5|62980|2355.83|2020|32005|26547|54359.58|16.0
67|2916825.07|2646.22|104.5|350600|350600 Bauru|20253.57|124.5|125989.0|455.5|203.5|351.0|0.66|69132|183674|2.7|79006|793.5|Bauru|66789|14642060.756|845.5|379297|2564.25|2020|195623|164370|267253.58|79.0
68|578715.24|2305.42|29.5|350610|350610 Bebedouro|32281.51|35.5|27056.0|123.5|57.0|94.0|0.15|13574|37575|2.3|15568|243.0|Bebedouro|14887|3344551.3660000004|284.0|77555|3031.67|2020|39980|33526|38925.42|21.5
73|225178.51|1975.69|30.0|350650|350650 Birigui|5698.58|24.5|29826.0|132.0|39.5|102.0|0.15|22657|61146|2.0|25226|185.0|Birigui|21251|3336569.6|217.5|124883|516.33|2020|63737|55749|84098.42|15.0
85|2447889.37|2932.7|46.0|350750|350750 Botucatu|4364.47|94.5|41370.0|169.0|186.0|123.0|0.21|28678|72089|2.9|31035|608.0|Botucatu|25472|4623409.471|649.0|148130|4604.0|2020|76041|62945|184249.0|91.5
86|1593172.15|2486.45|53.0|350760|350760 Bragança Paulista|503.67|43.0|43836.0|269.5|79.5|216.5|0.29|31094|83955|2.5|36204|387.5|Bragança Paulista|28943|6305506.737000001|405.5|170533|458.17|2020|86578|74292|86457.67|36.5
96|157317.55|3078.96|36.5|350850|350850 Caçapava|371.58|52.0|20881.0|150.0|63.0|113.5|0.2|18953|47214|3.1|19841|289.5|Caçapava|15547|4318444.515|305.0|95018|611.42|2020|47804|40677|55452.33|11.0
101|119667.85|2785.78|26.0|350900|350900 Caieiras|1605.54|17.0|20865.0|73.0|36.0|47.0|0.16|22238|49920|2.8|23978|52.0|Caieiras|12260|3556312.285|72.0|102775|687.92|2020|52855|44299|27792.67|19.0
103|184463.66|3103.89|19.0|350920|350920 Cajamar|604.47|7.5|41598.0|61.5|23.0|42.5|0.77|18382|38783|3.1|19788|62.5|Cajamar|7522|16970110.949|70.5|77934|236.92|2020|39151|32242|56356.58|15.5
