|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
0|368736.08|2157.34|21.5|350010|350010 Adamantina|29446.43|28.5|10297.0|91.0|42.0|69.5|0.05|5349|17085|2.2|6252|126.0|Adamantina|7956|1084405.125|139.0|35111|2359.92|2020|18026|15554|24945.58|13.5
1|1496.2|1988.92|2.5|350020|350020 Adolfo|0.0|0.0|634.0|3.5|3.0|1.0|0.0|574|1754|2.0|608|4.0|Adolfo|797|92373.72|4.5|3554|0.0|2020|1800|1575|3122.92|3.0
2|72510.73|2298.35|14.5|350030|350030 Aguaí|2009.02|10.0|5763.0|31.5|15.0|17.0|0.05|7928|18756|2.3|8266|54.0|Aguaí|5399|1008187.311|57.5|36648|234.67|2020|17892|15055|36238.42|5.0
3|4813.42|2336.73|3.0|350040|350040 Águas da Prata|27.12|0.5|837.0|4.0|1.5|1.0|0.01|1307|4075|2.3|1389|2.0|Águas da Prata|2004|168304.728|3.0|8221|9.58|2020|4146|3521|3931.08|1.0
4|20172.19|1968.89|7.0|350050|350050 Águas de Lindóia|0.0|3.0|4801.0|26.5|7.0|19.5|0.02|3229|9207|2.0|3683|33.0|Águas de Lindóia|3728|491522.06799999997|40.5|18808|419.08|2020|9601|8168|2408.25|4.0
5|1106.95|2327.56|4.0|350055|350055 Águas de Santa Bárbara|10.14|1.0|950.0|5.0|2.5|1.0|0.01|1185|3012|2.3|1239|9.0|Águas de Santa Bárbara|1159|166830.491|10.0|6109|3.58|2020|3097|2526|15459.5|1.5
6|4289.01|2165.31|3.0|350060|350060 Águas de São Pedro|0.0|0.0|1379.0|6.0|1.0|3.0|0.01|471|1679|2.2|567|5.0|Águas de São Pedro|1001|135946.643|5.0|3521|0.0|2020|1842|1482|3543.33|1.0
7|98491.24|2459.91|14.0|350070|350070 Agudos|22388.08|4.5|8384.0|26.0|17.5|12.0|0.1|7549|18592|2.5|7957|44.5|Agudos|5915|2203350.254|45.5|37401|1595.33|2020|18809|15980|41824.0|13.0
8|1413.94|1748.83|7.0|350075|350075 Alambari|2.12|0.0|891.0|7.0|1.0|0.0|0.0|1394|3082|1.8|1355|6.0|Alambari|907|100497.29199999999|6.0|6129|0.75|2020|3047|2473|7641.25|1.0
9|1285.32|1939.5|2.0|350080|350080 Alfredo Marcondes|0.0|0.0|822.0|2.0|1.0|0.0|0.0|579|2159|1.9|705|1.5|Alfredo Marcondes|1076|83372.758|1.5|4184|0.0|2020|2025|1824|8621.25|1.0
10|846.32|2492.65|7.0|350090|350090 Altair|0.0|0.0|616.0|7.0|1.0|0.0|0.0|947|2263|2.5|977|6.0|Altair|497|106832.795|7.0|4186|0.0|2020|1923|1765|2573.92|1.0
11|42004.9|2090.37|15.0|350100|350100 Altinópolis|46.7|2.0|2655.0|23.0|10.0|8.0|0.02|2827|8099|2.1|3386|34.0|Altinópolis|3195|497723.203|40.0|16203|16.5|2020|8104|6795|15549.33|8.0
12|8610.24|2373.06|6.0|350110|350110 Alto Alegre|7.55|0.0|400.0|6.0|1.0|0.0|0.0|651|2103|2.4|721|6.0|Alto Alegre|980|107711.975|7.0|4088|2.67|2020|1985|1736|1649.83|1.0
13|26711.39|3818.29|7.0|350115|350115 Alumínio|93.35|1.0|6252.0|11.0|3.0|4.0|0.1|4120|9538|3.8|4540|6.5|Alumínio|2330|2105104.5069999998|10.0|18767|36.58|2020|9229|7777|6094.5|2.0
14|2863.3|2066.07|4.0|350120|350120 Álvares Florence|0.0|0.0|372.0|4.0|1.0|0.0|0.01|467|1866|2.1|577|3.0|Álvares Florence|936|119696.02699999999|3.0|3647|0.0|2020|1781|1667|615.5|1.0
15|124359.78|2442.35|11.0|350130|350130 Álvares Machado|83258.25|1.0|3151.0|19.0|12.0|8.0|0.02|4510|12331|2.4|5311|15.5|Álvares Machado|4650|530717.813|20.0|24998|5604.75|2020|12667|10527|17482.92|11.0
16|3258.46|2199.53|3.0|350140|350140 Álvaro de Carvalho|0.0|0.0|268.0|3.0|2.5|0.0|0.0|897|3396|2.2|1239|2.0|Álvaro de Carvalho|705|49886.48|2.0|5274|0.0|2020|1878|2433|3474.67|2.5
17|1512.68|2085.13|3.0|350150|350150 Alvinlândia|0.0|0.0|261.0|3.0|1.0|0.0|0.0|728|1580|2.1|673|1.0|Alvinlândia|518|51906.344000000005|1.0|3237|0.0|2020|1657|1318|3128.58|1.0
18|452872.25|2817.01|36.0|350160|350160 Americana|17411.51|252.0|71482.0|296.5|278.5|260.5|0.51|41187|118796|2.8|48629|914.5|Americana|42796|11332408.168|934.0|242018|1583.5|2020|123222|109406|62594.17|26.5
19|77154.03|2275.84|18.0|350170|350170 Américo Brasiliense|120.34|1.0|9566.0|25.0|10.0|7.0|0.04|9196|20555|2.3|9778|21.5|Américo Brasiliense|4586|959435.488|26.0|41032|94.58|2020|20477|17472|19444.25|9.0
20|1421.98|1977.37|4.0|350180|350180 Américo de Campos|0.0|0.0|553.0|4.0|1.0|0.0|0.01|979|3032|2.0|1103|5.5|Américo de Campos|1318|117732.464|6.5|5981|0.0|2020|2949|2581|450.17|1.0
21|513546.71|2695.72|33.0|350190|350190 Amparo|1621.85|25.5|21921.0|145.5|50.5|112.5|0.21|12013|35749|2.7|14611|275.5|Amparo|13870|4646509.88|287.5|72677|1520.58|2020|36928|32183|49009.33|25.0
22|0.0|2381.32|2.0|350200|350200 Analândia|0.0|0.0|826.0|4.0|0.0|2.0|0.01|1036|2600|2.4|1011|5.0|Analândia|984|183993.634|5.0|5056|0.0|2020|2456|2025|0.0|0.0
23|316655.3|2215.23|21.0|350210|350210 Andradina|13923.86|45.0|15232.0|87.0|67.0|66.0|0.09|9668|28331|2.2|11055|213.5|Andradina|11120|1922486.331|221.5|57202|1366.42|2020|28871|25359|56455.67|22.0
24|37260.1|2646.25|12.5|350220|350220 Angatuba|208.6|2.0|4102.0|20.5|6.5|8.0|0.05|5357|12867|2.7|5606|30.5|Angatuba|3952|1008411.936|30.5|25479|415.42|2020|12612|10564|7765.0|4.5
25|12627.64|2123.92|7.0|350230|350230 Anhembi|48.88|0.0|806.0|8.0|1.0|1.0|0.01|1602|3547|2.1|1515|9.0|Anhembi|972|179886.178|9.0|6819|19.17|2020|3272|2730|4915.17|1.0
26|2304.3|2122.6|6.0|350240|350240 Anhumas|3.54|0.0|377.0|6.0|2.5|0.0|0.0|799|2026|2.1|853|2.0|Anhumas|715|74825.193|3.0|4144|1.25|2020|2118|1777|535.17|2.5
27|41265.3|1935.26|19.5|350250|350250 Aparecida|314.73|3.0|11255.0|29.0|8.0|9.5|0.05|6941|17310|1.9|7402|36.0|Aparecida|6107|1082773.381|40.0|36185|115.58|2020|18875|15735|8786.17|5.0
28|11738.15|1937.41|5.0|350260|350260 Aparecida d'Oeste|0.0|0.0|615.0|7.0|2.0|2.0|0.01|601|2044|1.9|699|5.0|Aparecida d'Oeste|1068|128569.45199999999|5.0|4158|0.0|2020|2114|1790|8607.42|2.0
29|39280.66|2134.69|20.0|350270|350270 Apiaí|29.86|1.0|3953.0|28.0|5.0|8.0|0.03|5060|12130|2.1|5345|41.0|Apiaí|4018|594687.476|44.0|24226|130.83|2020|12096|9803|60049.58|4.0
30|46950.32|2690.35|10.0|350275|350275 Araçariguama|50.97|1.0|9579.0|17.0|6.5|7.0|0.15|5951|11661|2.7|5654|13.0|Araçariguama|2363|3270859.003|17.0|22860|19.83|2020|11199|8892|16522.92|5.5
